Water Temp(F),Water Flow Rate(gpm),Intake Air Temp(F),Air Flow(cfm)
122.1,1.6,57.7,529.4
121.3,0.2,61.5,568.9
115.3,0.2,74.8,1330.4
122.5,1.2,32.1,561.1
120.0,0.6,47.6,1082.7
121.2,0.4,59.6,878.0
119.6,0.3,57.9,858.8
120.5,0.4,54.7,647.2
122.6,0.4,32.3,941.9
120.5,0.4,54.7,1006.6
118.5,0.1,73.3,667.9
120.0,1.6,42.1,1157.8
120.5,1.6,45.8,998.4
119.9,0.6,39.8,1010.9
119.5,0.0,61.6,1234.8
120.7,0.2,76.7,928.2
121.5,0.8,54.0,514.8
100.7,1.6,53.9,1237.7
122.9,0.8,43.2,937.5
119.8,0.6,67.8,988.7
118.9,1.6,40.7,1241.3
119.3,0.3,75.6,1031.1
120.1,1.6,48.2,1000.1
116.8,0.1,80.7,1107.2
119.2,0.3,73.9,1173.4
122.6,0.2,51.9,1183.1
122.0,0.6,51.8,636.6
118.9,0.2,74.0,1172.4
121.1,0.8,37.4,644.1
121.7,0.8,65.7,899.9
120.6,0.2,75.1,1161.2
121.8,1.1,51.3,849.6
121.6,0.6,47.5,1080.2
120.0,0.2,82.3,1016.0
121.2,0.6,54.4,1233.2
121.6,1.1,29.0,784.1
116.9,0.1,80.2,1104.9
123.1,1.1,27.0,721.4
120.8,1.2,47.5,856.1
122.7,1.6,60.8,544.1
120.1,0.3,57.2,1239.7
120.2,0.2,51.5,1179.2
121.1,0.2,63.3,1014.2
122.2,1.1,60.9,1328.0
121.0,0.6,68.6,658.6
121.2,0.8,61.9,1068.1
123.3,0.2,48.3,1173.0
119.9,1.6,57.3,1319.2
118.0,0.1,72.9,996.9
120.2,0.2,75.4,904.3
118.7,0.1,78.4,576.1
120.4,0.8,64.2,1363.5
118.2,0.1,81.4,861.2
119.1,0.2,75.9,911.1
116.9,0.1,81.7,871.0
120.6,0.4,35.7,928.9
120.1,0.2,52.1,1014.4
115.4,0.0,61.9,1224.5
120.6,0.2,80.9,1024.5
122.4,1.6,60.6,519.7
121.6,0.6,53.1,499.7
119.8,0.4,33.6,950.7
120.0,1.6,60.9,1150.5
123.7,0.0,37.8,651.8
117.7,0.1,82.2,1180.2
119.9,0.3,73.9,1406.0
121.7,1.1,55.1,1192.4
121.6,1.6,58.0,1313.3
117.9,0.1,82.1,1187.7
121.5,0.3,45.9,868.2
119.6,0.8,61.9,1060.3
120.2,0.3,55.0,1231.3
122.7,1.6,51.5,1071.3
121.8,0.4,54.3,1004.9
118.0,0.1,81.7,1103.7
120.3,0.6,47.3,1081.0
119.8,0.3,30.0,1098.0
121.5,0.6,47.5,1091.0
120.7,0.2,52.2,1093.3
116.6,0.0,58.3,862.7
120.8,0.6,52.4,637.4
120.5,0.2,51.9,794.7
120.8,0.8,44.6,1220.1
122.4,1.1,62.4,1354.8
120.8,0.6,81.5,1416.7
120.7,0.3,51.3,932.1
120.8,0.4,34.4,941.6
121.2,0.8,60.9,623.5
119.4,0.2,61.8,787.5
118.9,0.2,62.4,825.8
120.1,0.8,62.1,1066.7
118.1,0.1,73.1,651.3
120.4,0.3,78.7,1381.1
121.0,0.3,60.8,507.5
122.2,0.8,56.3,1168.4
121.2,0.4,59.6,882.4
118.2,0.1,75.2,734.7
121.0,0.6,54.3,1170.2
122.1,0.6,81.8,1369.4
122.0,0.4,54.9,1229.9
118.6,0.1,74.4,751.7
120.2,0.2,76.0,655.2
120.9,0.4,53.0,999.9
121.4,1.1,33.8,563.0
118.2,0.1,57.1,646.0
119.3,1.6,42.1,1168.4
119.6,0.2,60.8,575.4
118.5,0.1,73.4,632.8
121.4,1.1,53.8,530.9
120.6,0.8,46.1,1227.4
119.7,1.6,59.1,1162.7
119.3,0.3,54.0,1229.2
122.6,1.6,60.7,554.3
120.3,0.2,55.7,795.9
122.8,0.8,56.0,1235.1
121.6,0.4,68.1,991.1
120.9,0.8,56.4,1170.1
120.9,0.2,63.3,1013.0
120.5,0.4,56.7,1233.9
123.1,0.2,61.1,1011.0
123.1,0.8,39.3,636.7
122.0,0.2,54.4,1017.2
120.8,0.3,81.4,801.8
120.4,0.6,40.0,1014.2
121.8,0.8,62.1,1086.2
122.4,0.3,81.8,790.2
119.6,0.2,45.3,1250.1
119.5,0.2,55.4,723.3
119.5,0.2,73.6,1145.1
119.4,0.2,76.0,665.0
119.5,0.2,75.1,1176.3
118.5,0.1,61.0,619.6
119.8,0.2,52.6,1093.4
120.5,0.6,81.7,1372.3
120.0,0.2,67.6,1058.4
120.7,0.4,54.6,1004.0
121.0,0.6,47.7,1100.1
119.6,1.6,41.2,1225.4
120.6,0.6,67.5,646.4
122.2,1.6,59.5,543.1
120.2,0.2,65.2,1075.9
120.7,0.3,68.6,879.5
119.3,0.3,57.5,862.3
121.4,0.3,50.6,715.0
121.3,0.6,65.1,628.9
120.9,0.2,75.8,633.3
121.1,0.4,55.7,1010.5
121.1,1.1,29.2,793.8
120.8,0.2,75.1,1177.8
121.0,0.6,64.4,895.1
120.2,0.4,79.6,1365.5
120.8,0.3,47.2,869.6
121.6,0.3,81.4,798.8
119.7,0.3,57.5,867.6
118.8,0.2,55.9,851.7
121.7,0.4,55.3,1014.0
119.3,0.1,72.3,1010.1
118.1,0.1,81.5,872.5
119.3,0.2,61.7,787.8
120.3,0.2,61.5,567.0
119.6,1.6,36.9,782.6
122.3,1.6,37.7,774.5
119.8,1.6,43.6,956.5
119.5,1.6,41.8,704.5
120.5,0.3,49.1,719.8
120.1,0.2,62.0,790.5
122.2,0.4,75.4,793.6
121.6,0.8,55.7,1166.1
117.9,0.1,82.3,1176.8
118.9,0.2,62.0,835.6
121.9,0.6,82.1,1360.1
121.4,0.8,69.5,1235.3
119.9,0.8,68.6,1258.2
120.7,0.8,35.1,937.2
119.0,0.0,62.9,1234.2
121.2,1.1,52.3,853.1
120.1,0.2,62.9,807.3
121.0,0.6,47.4,1092.7
121.8,0.9,41.0,643.4
119.5,0.2,69.1,1054.0
115.5,0.0,61.9,1218.5
122.3,0.8,35.0,938.3
120.5,0.2,74.9,634.2
121.8,0.0,36.1,651.7
121.7,0.6,67.9,970.6
120.0,1.6,60.8,559.2
121.9,1.2,47.6,857.0
122.0,0.8,63.6,1334.3
119.9,0.3,65.6,902.9
121.8,0.8,37.0,931.6
121.7,0.6,68.7,617.2
122.6,1.6,57.7,1253.4
119.2,0.2,77.2,1074.0
119.7,1.6,49.8,923.7
120.7,0.6,69.7,1151.0
119.8,0.4,80.1,1363.1
120.6,0.8,57.1,1164.7
121.5,0.8,64.6,903.8
122.7,1.6,61.1,548.0
122.1,1.6,46.8,992.7
120.9,0.2,54.0,1023.8
120.8,0.2,82.1,1013.7
119.2,0.2,74.3,833.1
117.1,0.1,81.1,1097.5
120.2,0.4,81.6,1351.8
121.1,1.6,49.5,996.5
120.8,0.3,81.6,793.5
118.7,0.3,76.2,1394.7
121.0,0.2,82.1,1013.9
119.8,0.6,64.5,906.8
118.7,1.6,41.1,1241.6
118.1,0.1,55.7,644.8
123.8,1.2,32.5,565.2
119.5,0.1,75.2,718.1
120.3,0.4,83.1,1363.5
119.6,0.6,65.3,601.6
121.8,0.3,47.3,719.5
119.8,0.8,61.5,1066.2
117.8,0.1,55.8,639.9
120.6,0.2,52.4,1092.0
120.5,0.2,74.7,1003.8
121.4,1.1,50.9,848.3
120.7,0.3,48.7,714.8
122.4,1.1,50.0,847.6
123.7,0.2,37.6,1244.7
118.0,0.0,55.6,864.7
123.3,0.2,56.3,1017.9
119.8,0.0,56.0,865.4
120.5,0.4,32.7,937.9
121.3,0.6,41.3,858.6
120.5,0.3,53.0,713.9
123.7,1.6,44.2,997.4
119.9,1.6,41.0,1225.7
121.8,0.4,53.5,1015.8
121.1,0.3,61.3,529.9
119.5,1.1,55.4,1157.8
119.2,0.2,54.5,794.9
119.5,0.2,75.9,665.4
121.5,0.4,77.0,1199.7
121.1,1.2,39.6,997.3
121.8,0.2,50.6,1175.9
122.4,1.6,55.5,892.6
119.8,0.2,77.7,1375.7
120.4,0.2,57.4,642.4
119.5,0.3,55.8,1219.7
119.6,0.6,67.5,985.2
120.5,0.2,75.7,657.2
121.0,0.2,74.6,827.3
119.1,0.3,57.8,1214.2
121.3,0.8,57.1,1167.9
121.8,0.4,54.3,645.8
120.3,1.2,47.4,856.6
120.1,0.2,57.9,637.6
121.8,0.3,56.3,639.6
122.5,0.2,50.0,1171.2
120.8,1.6,41.5,701.5
117.1,0.1,82.1,1194.1
119.8,0.2,77.0,1354.8
121.7,0.6,67.3,1000.8
123.1,1.1,45.7,779.3
119.2,0.2,75.5,668.4
121.0,1.6,58.6,1282.6
122.4,1.6,61.5,1161.2
119.4,0.2,81.4,652.2
121.0,0.6,68.5,626.9
121.0,0.4,54.3,999.4
119.0,0.3,54.4,1077.6
115.5,0.0,63.2,1225.7
122.1,1.6,41.9,1159.0
118.9,0.1,73.3,646.9
121.4,0.6,47.6,1083.3
119.4,0.6,40.5,1023.6
122.0,0.8,66.6,987.7
122.0,0.3,47.3,714.4
120.3,0.6,67.5,1000.8
122.7,0.8,55.9,1223.0
120.3,1.6,60.4,1197.3
121.3,0.2,57.6,635.7
119.0,0.2,78.7,794.6
120.4,0.6,40.2,1016.3
121.8,1.1,55.6,627.9
121.9,0.8,62.4,1064.7
117.9,0.1,82.0,1100.7
117.4,0.1,82.0,1107.1
120.7,0.3,76.6,1400.6
122.1,1.6,55.9,632.3
119.6,0.3,67.8,1244.6
121.8,0.8,36.1,925.3
117.4,0.1,81.4,867.6
121.4,0.8,62.0,1061.8
119.2,0.1,73.3,664.0
121.7,1.1,61.2,1352.3
121.2,0.0,55.7,859.8
120.0,0.2,40.9,1083.3
120.1,0.3,48.4,718.0
121.6,0.8,56.1,1222.6
119.1,0.2,75.0,1187.1
118.0,0.1,73.4,641.6
120.6,0.2,74.2,1170.5
122.6,1.6,46.4,950.6
121.4,1.2,39.6,990.9
121.8,1.6,51.4,1154.3
115.8,0.0,63.7,1219.3
122.1,0.6,56.1,563.8
119.9,0.3,53.5,1233.7
119.3,0.2,82.1,1020.5
120.9,1.6,54.8,1260.2
118.5,0.1,73.0,640.1
123.6,0.2,51.1,1173.4
121.6,0.2,48.0,1178.9
120.6,0.4,54.6,1013.8
118.8,0.1,80.4,1103.3
121.2,0.4,60.0,563.3
120.2,0.3,56.5,1227.6
119.0,0.1,73.1,682.0
119.4,0.2,75.8,667.4
122.6,1.6,59.0,1199.7
117.5,0.1,82.3,1182.2
122.3,0.4,53.1,996.3
119.3,0.2,80.6,573.4
121.3,0.2,64.4,571.9
121.3,1.6,45.6,982.8
122.9,1.6,42.3,1234.6
122.7,0.9,45.5,859.6
118.1,0.1,82.3,1187.6
122.3,1.6,59.9,1347.5
122.8,1.1,31.9,795.5
119.7,0.2,55.9,849.9
120.7,0.2,75.5,627.9
121.9,0.8,55.8,1132.0
121.1,0.2,54.5,1020.7
118.2,0.1,73.3,662.0
122.3,1.6,44.4,1007.2
117.7,0.1,82.5,948.5
117.9,0.1,82.1,870.0
117.8,0.1,58.2,1001.0
121.1,1.6,58.7,1281.2
119.7,1.2,46.9,856.4
119.9,0.6,66.1,648.9
122.8,0.8,47.0,1221.9
120.6,0.6,45.9,846.7
119.5,0.2,55.8,853.8
118.2,0.1,74.6,745.4
120.4,0.2,75.9,668.9
120.6,0.2,75.7,646.4
117.3,0.1,79.0,798.5
123.2,1.1,51.3,850.3
119.8,0.6,47.7,1091.7
121.7,0.8,62.2,1042.8
111.9,0.2,76.2,1357.7
121.9,0.2,50.4,1178.0
120.4,0.6,66.9,623.5
120.6,0.4,54.4,1006.3
120.0,1.6,58.2,1357.7
122.7,0.4,80.0,713.7
120.8,0.4,57.8,535.8
119.9,0.2,55.8,723.6
121.3,0.2,54.6,785.0
116.3,0.0,62.5,1236.1
121.3,0.2,51.8,1177.9
122.3,0.2,54.6,1022.3
121.5,0.6,38.6,791.4
120.1,1.5,54.1,933.1
117.2,0.1,80.1,1101.8
121.1,0.2,80.4,941.8
119.2,0.2,75.7,1365.0
122.0,1.1,59.6,883.4
121.8,0.6,52.6,640.4
120.7,1.6,57.7,1159.8
119.5,0.2,61.7,779.4
120.8,1.6,55.1,861.9
119.1,0.2,75.3,1150.0
120.4,1.6,58.5,1189.5
119.7,0.3,57.3,568.9
120.6,0.2,80.3,1081.2
122.5,0.6,53.8,1244.8
121.6,1.6,53.4,832.4
114.6,0.0,38.6,645.4
121.1,1.6,39.9,1225.7
120.6,1.6,58.7,1264.1
122.6,0.4,29.9,1092.0
121.9,0.8,62.4,797.6
118.1,0.1,73.4,656.7
121.4,0.4,39.1,937.9
119.2,0.2,73.9,826.8
120.6,0.2,59.5,570.7
118.4,0.1,72.6,648.9
119.6,0.4,73.9,818.0
119.9,0.2,52.5,1011.5
121.1,0.4,56.6,525.0
120.0,0.8,55.4,1148.6
120.1,0.2,75.3,908.2
120.0,0.6,40.5,1005.5
119.2,0.1,73.4,655.7
117.6,0.1,81.2,1103.0
119.5,0.6,67.4,977.9
116.1,0.0,63.5,1233.1
121.6,0.3,48.6,721.4
121.6,1.6,53.3,875.1
120.8,0.3,48.5,719.9
120.9,1.2,46.1,782.1
119.3,0.1,74.2,751.7
121.7,0.6,71.4,707.4
118.4,0.1,55.9,642.3
122.7,0.4,75.1,792.0
117.6,0.1,82.1,1183.3
121.0,0.3,53.7,721.2
122.7,1.6,58.4,1284.1
119.4,1.2,50.7,1167.2
121.4,0.8,46.8,862.7
120.5,0.3,55.9,1227.0
120.7,0.4,53.8,1010.0
119.7,1.6,42.5,634.3
120.6,0.2,75.1,1183.2
120.8,0.6,54.1,1172.3
121.4,0.6,40.5,997.6
119.1,0.0,56.0,861.9
123.1,0.2,54.8,1024.1
118.6,0.1,73.3,620.6
121.4,0.2,50.7,1175.8
119.7,0.8,54.1,527.5
120.7,0.2,80.9,952.7
119.7,1.1,53.3,519.2
121.9,1.2,50.3,1160.2
121.0,1.6,41.4,1237.9
121.1,0.2,54.3,1024.7
120.0,0.2,58.8,637.0
120.6,0.4,36.6,933.7
117.1,0.1,81.6,1099.6
119.0,0.1,73.0,656.2
122.1,0.6,59.3,565.2
121.4,0.6,51.4,927.6
119.6,0.0,54.7,871.1
119.1,0.1,58.3,1014.3
119.4,0.1,75.1,723.5
122.6,0.8,44.0,1231.3
119.3,0.3,57.7,860.6
119.8,1.6,41.6,969.2
122.0,1.6,74.7,674.7
120.8,0.3,57.8,858.8
122.6,1.6,40.5,956.0
123.3,1.2,59.2,704.3
118.8,0.2,61.6,825.3
121.4,1.6,42.3,981.8
123.8,0.2,51.4,1182.7
121.1,0.3,71.7,833.6
122.1,0.8,35.0,929.7
119.6,0.2,68.5,1035.0
120.2,0.4,66.8,994.5
118.8,0.2,62.1,823.9
118.0,0.1,78.4,575.0
122.8,1.2,34.9,565.0
120.7,0.3,77.9,1372.3
120.5,0.2,57.1,642.1
120.3,0.2,75.2,1167.6
120.8,0.2,75.2,1172.4
120.0,0.3,56.7,1014.7
121.2,1.6,47.0,992.8
117.0,0.1,82.5,1186.6
120.7,0.6,65.0,645.0
119.9,0.2,82.1,1008.4
118.6,0.1,74.1,716.1
119.9,0.6,72.2,1136.4
120.8,0.2,80.6,939.8
121.5,0.4,38.9,945.5
119.8,0.2,62.6,805.8
121.7,0.8,62.1,1090.5
120.2,1.2,49.7,1170.2
119.7,0.8,53.9,536.7
121.2,0.4,75.1,806.8
120.2,0.8,68.1,1346.5
121.8,1.6,58.7,1183.2
118.0,0.1,74.9,706.4
120.1,0.2,51.7,1232.3
119.9,0.2,80.8,952.2
118.6,0.1,55.7,639.0
119.0,0.2,40.6,1086.9
119.7,0.8,61.7,709.3
119.9,1.6,62.2,1152.5
120.6,0.3,53.1,1092.8
117.3,0.1,79.0,794.8
120.1,0.6,68.2,621.1
122.6,0.2,52.1,1178.0
116.3,0.0,63.7,1237.7
120.4,1.6,40.9,941.9
116.7,0.1,82.2,1185.6
121.1,0.4,53.6,1017.4
121.4,0.4,53.9,1233.6
123.6,1.1,30.4,789.2
120.6,0.4,77.9,1172.4
118.8,0.2,62.1,828.8
123.2,0.2,55.6,569.8
118.3,0.1,61.2,597.7
120.1,1.6,55.5,620.1
122.4,0.6,53.4,1231.3
119.8,0.2,62.6,780.5
121.0,1.6,50.0,1002.0
121.6,1.6,45.9,1225.1
117.9,0.1,82.3,1192.9
119.1,0.3,69.0,1268.0
120.3,0.8,55.8,1156.4
119.6,0.8,62.0,788.3
119.6,0.3,78.8,1350.9
121.1,1.1,30.5,793.7
122.6,1.6,53.8,875.6
115.4,0.0,64.1,1229.6
121.0,0.2,62.2,569.3
120.6,0.3,57.9,867.2
