Hot Water System : Hot Water Supply Temperature Local (°F),AHU-01 VAV : Hot  Water Coil Flow Meter Local (gpm),AHU-01 VAV : Mixed Air Temperature Local (°F),AHU-01 VAV : Supply Fan Air Flow Local (cfm)
121.1,1.6,42.5,993.5
121.8,0.6,70.8,1140.3
121.7,0.6,72.3,1141.7
121.3,1.1,60.8,1338.2
119.6,0.6,64.7,635.7
120.1,0.4,59.2,528.0
119.9,0.2,75.2,1188.5
121.2,0.3,65.3,869.2
122.5,1.6,40.8,976.5
120.4,1.6,57.6,1315.8
120.5,0.6,67.5,616.2
122.2,0.8,69.6,1329.4
118.0,0.1,70.5,646.9
120.9,0.2,75.8,654.7
119.0,0.1,74.3,1306.0
119.3,0.2,75.5,1178.8
122.2,1.6,50.4,675.7
121.3,1.1,55.0,1156.4
119.2,0.2,75.4,1167.1
119.7,0.3,76.1,647.9
116.8,0.1,73.0,1283.1
121.0,0.6,68.6,658.6
100.7,0.2,75.8,1362.6
120.2,1.6,56.4,974.0
120.8,0.3,75.7,1002.3
120.3,0.3,61.0,969.2
120.9,0.4,81.2,1197.8
120.0,1.1,54.7,685.4
119.9,0.2,63.3,821.0
119.4,0.2,61.6,813.6
119.1,0.2,75.2,1188.0
121.7,1.1,55.5,1151.5
119.8,0.3,69.3,1215.3
120.5,0.2,68.5,1087.1
120.1,0.2,62.2,837.5
119.5,0.6,81.9,1397.7
119.8,1.6,61.0,550.4
119.9,0.2,75.6,899.4
120.0,0.4,83.0,1352.8
118.8,0.1,72.8,967.7
121.5,1.6,61.6,1219.7
120.8,1.6,41.0,950.6
113.8,0.1,72.4,1286.5
119.9,0.6,66.1,648.9
118.9,0.2,62.6,791.2
119.5,0.8,69.1,1253.9
88.4,0.3,72.3,1397.2
120.9,0.2,73.4,1182.7
120.9,0.8,62.2,1077.4
119.2,0.1,73.2,620.6
119.7,0.4,75.5,842.9
119.7,0.2,71.0,1059.8
121.9,0.6,70.1,1144.7
120.9,0.2,76.3,1197.8
120.7,0.6,67.6,1008.6
119.2,0.1,73.0,642.0
121.2,0.8,54.2,508.0
119.9,0.2,61.2,823.4
116.3,0.2,75.0,1376.2
119.5,0.2,62.1,805.4
121.1,0.8,61.8,791.7
119.7,1.1,53.3,520.2
119.5,0.2,74.6,1159.8
120.5,0.2,74.9,1180.2
119.8,0.2,61.8,835.6
121.5,0.8,62.3,1065.2
121.3,0.4,80.2,1373.3
120.2,0.8,69.4,1220.2
119.1,0.1,74.3,1326.5
119.2,0.1,73.3,662.5
122.2,1.6,42.6,972.6
120.1,1.1,55.4,626.9
120.5,0.2,77.2,889.2
119.4,0.2,68.3,1064.2
119.3,0.1,72.7,651.3
120.4,0.3,70.7,838.5
122.1,0.3,72.9,1316.7
119.8,1.1,53.6,523.6
120.1,0.4,67.1,993.5
120.2,0.6,81.8,1399.6
121.3,1.6,40.8,993.5
119.8,0.6,68.6,633.8
120.6,0.2,74.0,970.6
120.8,0.3,61.8,977.0
115.5,0.3,75.4,1414.7
119.7,0.2,62.2,830.2
118.8,0.1,72.1,1014.5
120.9,0.3,78.7,1377.2
120.5,0.2,74.6,1164.6
117.7,0.1,74.3,1285.1
118.0,0.1,75.0,716.6
120.2,1.1,53.2,518.2
119.5,0.4,57.8,505.1
119.7,0.2,75.1,1153.9
122.5,1.6,59.1,1181.2
118.8,0.2,75.0,730.3
119.4,1.6,50.7,714.2
121.6,1.6,41.6,976.5
122.4,1.6,46.6,963.3
121.3,0.8,69.6,1260.7
120.2,0.2,75.0,1191.9
120.9,1.6,62.0,1175.9
119.5,1.6,41.8,992.1
119.2,0.2,73.9,1182.7
121.9,1.1,54.5,704.4
120.4,1.6,40.6,983.8
120.0,0.6,67.9,991.6
117.8,0.1,73.1,650.3
119.6,0.2,69.1,1067.1
121.2,0.8,69.6,1230.0
121.3,0.4,79.7,743.9
120.3,1.6,54.5,1138.3
121.3,1.6,44.9,977.0
119.9,0.6,81.7,1375.7
120.1,0.2,61.6,817.1
119.7,0.1,59.7,650.8
121.8,0.6,65.9,633.8
117.8,0.1,73.3,659.6
120.2,1.1,55.1,1175.4
119.7,0.2,75.1,767.3
120.3,0.6,71.2,686.4
120.7,0.2,75.2,1177.8
121.5,1.6,60.2,1069.1
119.1,0.2,69.8,927.2
120.2,0.8,67.1,1256.8
119.2,0.1,73.1,672.3
120.0,0.8,54.3,547.0
121.2,0.4,59.7,884.8
