Model,MSE,R^2,MAE,CV,Count
small_layers_left_pyramid_100_0.0005_Adam.pt,0.7186521291732788,0.9927964806556702,0.516294002532959,1.209338665008545,3
small_layers_left_pyramid_100_0.0005_AdamW.pt,0.7173786759376526,0.9928092360496521,0.5134650468826294,1.2082668542861938,3
small_layers_left_pyramid_100_0.0001_Adam.pt,0.6609352827072144,0.9933750033378601,0.4595761001110077,1.1597598791122437,3
small_layers_left_pyramid_100_0.0001_AdamW.pt,0.6367119550704956,0.9936177730560303,0.437655508518219,1.1383088827133179,3
small_layers_left_pyramid_100_5e-05_Adam.pt,0.6225823163986206,0.9937594532966614,0.42522284388542175,1.1256074905395508,3
small_layers_left_pyramid_100_5e-05_AdamW.pt,0.6225284934043884,0.9937599897384644,0.427578330039978,1.1255589723587036,3
small_layers_left_pyramid_250_0.001_Adam.pt,0.66251140832901,0.9933592081069946,0.4591314196586609,1.1611418724060059,3
small_layers_left_pyramid_250_0.001_AdamW.pt,0.7065657377243042,0.9929175972938538,0.49748754501342773,1.199126124382019,3
small_layers_left_pyramid_250_0.0005_Adam.pt,0.6421857476234436,0.9935629367828369,0.4363369941711426,1.1431913375854492,3
small_layers_left_pyramid_250_0.0005_AdamW.pt,0.6375550031661987,0.9936093688011169,0.4287315309047699,1.1390622854232788,3
small_layers_left_pyramid_250_0.0001_Adam.pt,0.596544623374939,0.994020402431488,0.40811559557914734,1.1018184423446655,3
small_layers_left_pyramid_250_0.0001_AdamW.pt,0.6121499538421631,0.9938639998435974,0.42418667674064636,1.1161370277404785,3
small_layers_left_pyramid_250_5e-05_Adam.pt,0.5856098532676697,0.99413001537323,0.40200933814048767,1.0916736125946045,3
small_layers_left_pyramid_250_5e-05_AdamW.pt,0.5725686550140381,0.9942607283592224,0.4098820388317108,1.0794496536254883,3
small_layers_left_pyramid_500_0.001_Adam.pt,0.7350793480873108,0.9926317930221558,0.49072161316871643,1.223082423210144,3
small_layers_left_pyramid_500_0.001_AdamW.pt,0.6488723754882812,0.9934958815574646,0.4531278610229492,1.14912748336792,3
small_layers_left_pyramid_500_0.0005_Adam.pt,0.7030310034751892,0.9929530620574951,0.48784512281417847,1.1961230039596558,3
small_layers_left_pyramid_500_0.0005_AdamW.pt,0.6725665330886841,0.9932584166526794,0.4737231731414795,1.1699202060699463,3
small_layers_left_pyramid_500_0.0001_Adam.pt,0.603775680065155,0.9939479231834412,0.41123831272125244,1.1084762811660767,3
small_layers_left_pyramid_500_0.0001_AdamW.pt,0.5877664089202881,0.9941084384918213,0.39355602860450745,1.093681812286377,3
small_layers_left_pyramid_500_5e-05_Adam.pt,0.5633732080459595,0.9943529367446899,0.37637367844581604,1.0707465410232544,3
small_layers_left_pyramid_500_5e-05_AdamW.pt,0.5636566281318665,0.9943500757217407,0.369153767824173,1.0710159540176392,3
small_layers_right_pyramid_100_0.001_Adam.pt,0.8617377281188965,0.9913622140884399,0.5881306529045105,1.3242688179016113,3
small_layers_right_pyramid_100_0.001_AdamW.pt,0.7851518392562866,0.9921298623085022,0.5501391887664795,1.264053463935852,3
small_layers_right_pyramid_100_0.0005_Adam.pt,0.7164908647537231,0.9928181171417236,0.4910220503807068,1.2075189352035522,3
small_layers_right_pyramid_100_0.0005_AdamW.pt,0.8467336297035217,0.9915125966072083,0.585915207862854,1.3126895427703857,3
small_layers_right_pyramid_100_0.0001_Adam.pt,0.6448705196380615,0.9935359954833984,0.44484999775886536,1.1455785036087036,3
small_layers_right_pyramid_100_0.0001_AdamW.pt,0.6568946838378906,0.9934154748916626,0.4500395655632019,1.1562093496322632,3
small_layers_right_pyramid_100_5e-05_Adam.pt,0.6429187059402466,0.9935556054115295,0.44693154096603394,1.1438435316085815,3
small_layers_right_pyramid_100_5e-05_AdamW.pt,0.6430408358573914,0.9935543537139893,0.44423267245292664,1.1439521312713623,3
small_layers_right_pyramid_250_0.001_Adam.pt,0.8911422491073608,0.9910674691200256,0.5917356610298157,1.3466728925704956,3
small_layers_right_pyramid_250_0.001_AdamW.pt,0.7790740132331848,0.9921907782554626,0.5324521064758301,1.2591514587402344,3
small_layers_right_pyramid_250_0.0005_Adam.pt,0.6413889527320862,0.9935709238052368,0.4532789885997772,1.1424819231033325,3
small_layers_right_pyramid_250_0.0005_AdamW.pt,0.6430929899215698,0.9935538172721863,0.45425015687942505,1.1439985036849976,3
small_layers_right_pyramid_250_0.0001_Adam.pt,0.6153866052627563,0.9938315749168396,0.40966296195983887,1.1190837621688843,3
small_layers_right_pyramid_250_0.0001_AdamW.pt,0.5942246913909912,0.9940436482429504,0.42316386103630066,1.0996739864349365,3
small_layers_right_pyramid_250_5e-05_Adam.pt,0.5784722566604614,0.9942016005516052,0.38978609442710876,1.0850002765655518,3
small_layers_right_pyramid_250_5e-05_AdamW.pt,0.5760317444801331,0.9942260384559631,0.3867078721523285,1.0827091932296753,3
small_layers_right_pyramid_500_0.001_Adam.pt,0.6623433232307434,0.9933608770370483,0.4696930944919586,1.1609946489334106,3
small_layers_right_pyramid_500_0.001_AdamW.pt,0.7920865416526794,0.9920603632926941,0.536171555519104,1.2696233987808228,3
small_layers_right_pyramid_500_0.0005_Adam.pt,0.6571102142333984,0.9934133291244507,0.4784936308860779,1.1563990116119385,3
small_layers_right_pyramid_500_0.0005_AdamW.pt,0.6332100033760071,0.993652880191803,0.4352090656757355,1.1351741552352905,3
small_layers_right_pyramid_500_0.0001_Adam.pt,0.5824741125106812,0.9941614866256714,0.406803697347641,1.0887469053268433,3
small_layers_right_pyramid_500_0.0001_AdamW.pt,0.587043821811676,0.9941156506538391,0.40945401787757874,1.093009352684021,3
small_layers_right_pyramid_500_5e-05_Adam.pt,0.5805072784423828,0.9941811561584473,0.39504626393318176,1.086907148361206,3
small_layers_right_pyramid_500_5e-05_AdamW.pt,0.5694811940193176,0.9942917227745056,0.4002021849155426,1.0765354633331299,3
small_layers_diamond_100_0.001_Adam.pt,0.9190168380737305,0.9907880425453186,0.6008456945419312,1.367572546005249,3
small_layers_diamond_100_0.001_AdamW.pt,0.936486005783081,0.9906129837036133,0.6233059167861938,1.3805090188980103,3
small_layers_diamond_100_0.0005_Adam.pt,0.7522366046905518,0.9924598336219788,0.5267806053161621,1.2372738122940063,3
small_layers_diamond_100_0.0005_AdamW.pt,1.095357060432434,0.9890204668045044,0.7619466185569763,1.4930229187011719,3
